id_categ_1,id_categ_2,created_at,updated_at
?,?,2023-11-29 14:49:15,2023-11-29 14:49:15
Agriculture,Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Alcool,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Bagarre,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Bricole,Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Business,Business,2023-11-29 14:49:15,2023-11-29 14:49:15
Cars,Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Chess,Gaming,2023-11-29 14:49:15,2023-11-29 14:49:15
Chill,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Cinema,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Code,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Cuivres,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Culture,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Data,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Droit,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Economy,Business,2023-11-29 14:49:15,2023-11-29 14:49:15
Education,Pedagogie,2023-11-29 14:49:15,2023-11-29 14:49:15
English,Pedagogie,2023-11-29 14:49:15,2023-11-29 14:49:15
Entertain.,Entertain.,2023-11-29 14:49:15,2023-11-29 14:49:15
F1,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Finance,Business,2023-11-29 14:49:15,2023-11-29 14:49:15
Fly,Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Foot,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Gaming,Gaming,2023-11-29 14:49:15,2023-11-29 14:49:15
Guitar,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Hack,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Handicap,Pedagogie,2023-11-29 14:49:15,2023-11-29 14:49:15
History,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Humour,Entertain.,2023-11-29 14:49:15,2023-11-29 14:49:15
IA,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Lifestyle,Entertain.,2023-11-29 14:49:15,2023-11-29 14:49:15
Lofi,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Maths,Science,2023-11-29 14:49:15,2023-11-29 14:49:15
Medical,Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Meditation,Meditation,2023-11-29 14:49:15,2023-11-29 14:49:15
Misc.,Misc.,2023-11-29 14:49:15,2023-11-29 14:49:15
Muscle,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Music,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
News,News,2023-11-29 14:49:15,2023-11-29 14:49:15
NewsEN,News,2023-11-29 14:49:15,2023-11-29 14:49:15
NewsFR,News,2023-11-29 14:49:15,2023-11-29 14:49:15
No-code,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Pedagogie,Pedagogie,2023-11-29 14:49:15,2023-11-29 14:49:15
Philo,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Piano,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Poker,Gaming,2023-11-29 14:49:15,2023-11-29 14:49:15
Python,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Rugby,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Sceptic,Science,2023-11-29 14:49:15,2023-11-29 14:49:15
School,Pedagogie,2023-11-29 14:49:15,2023-11-29 14:49:15
Science,Science,2023-11-29 14:49:15,2023-11-29 14:49:15
Space,Science,2023-11-29 14:49:15,2023-11-29 14:49:15
Sport,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Stats,Science,2023-11-29 14:49:15,2023-11-29 14:49:15
Tech,Tech,2023-11-29 14:49:15,2023-11-29 14:49:15
Tennis,Sport,2023-11-29 14:49:15,2023-11-29 14:49:15
Watch,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Geo,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Harmonica,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Trumpet,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Brass,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Clarinet,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Ukulele,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Solfegia,Music,2023-11-29 14:49:15,2023-11-29 14:49:15
Wine,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Beer,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
Cook,Culture,2023-11-29 14:49:15,2023-11-29 14:49:15
